State,PC,MPCE (Rs.),Poverty (%),GINI
,Giridih,1369.2,39.2,0.2
Karnataka,Gulbarga,N/A,N/A,N/A
,Bijapur,1155,37.9,0.2
,Chikkodi,1268,38.3,0.2
,Raichur,N/A,N/A,N/A
,Koppal,1219.8,43.8,0.2
,Haveri,1281.4,30.3,0.2
,Davanagere,1430,33.5,0.2
,Chikkaballapura,2415.9,16.3,0.3
,Udupi Chikmagalur,1971,11.9,0.2
,Tumkur,1493.8,17,0.2
,Kolar,2074.8,9.1,0.2
,Bangalore Rural,3147.6,8.5,0.3
,Dharwad,1584.9,32.7,0.3
,Bangalore North,3806,5.5,0.3
,Dakshina Kannada,2903.2,6.8,0.4
,Mysore,2098.3,10.4,0.3
,Chamrajnagar,1794.3,14.1,0.2
,Mandya,1662.8,18.1,0.2
,Bellary,1250,37.6,0.2
,Chitradurga,1336.6,21.5,0.2
,Bidar,1242.1,37.8,0.2
,Uttara Kannada,1518,22.5,0.2
,Shimoga,1535.3,11.9,0.2
,Hassan,1405,10.5,0.1
,Belgaum,1267,38.4,0.2
,Bangalore South,3806,5.5,0.3
,Bangalore Central,3806,5.5,0.3
,Bagalkot,1081.8,51.8,0.2
Kerala,Malappuram,2123,11.1,0.3
,Pathanamthitta,2703.8,6.9,0.3
,Mavelikkara,2509.9,10,0.3
,Thiruvananthapuram,3281,3.9,0.3
,Palakkad,2401,10.2,0.3
,Thrissur,2661,8.5,0.3
,Alathur,2490.9,9.6,0.3
,Kasaragod,1706.4,20.7,0.2
,Attingal,3280.9,3.9,0.3
,Vadakara,2150.3,16.1,0.3
,Kozhikode,2170,15.4,0.3
,Kannur,2044,19.8,0.3
,Chalakudy,3164,9.6,0.4
,Idukki,3130.4,5.4,0.4
,Alappuzha,2387.4,11.3,0.3
,Kottayam,3153.4,5.6,0.3
,Kollam,2605,8.4,0.3
,Ernakulam,3411.9,10.1,0.4
,Wayanad,2092.9,12.8,0.3
,Ponnani,2146.9,11,0.3
Lakshadweep,Lakshadweep,2648,4.1,0.3
Madhya Pradesh,Bhind,1169.9,45.8,0.2
,Balaghat,954.1,63.8,0.2
,Hoshangabad,1384.5,37.2,0.3
,Dhar,1547.8,23.6,0.2
,Indore,2492,12.6,0.3
,Gwalior,1663.9,27.4,0.3
,Sidhi,945.2,67.3,0.2
,Rajgarh,1366.4,34.2,0.2
,Sagar,1124,53,0.2
,Damoh,1136.4,53,0.2
,Shahdol,1070.6,63.6,0.3
,Dewas,1537.8,25.9,0.2
,Ujjain,1804,25.7,0.3
,Bhopal,2890.8,33.9,0.4
,Vidisha,1355.1,40.9,0.2
,Ratlam,1329.7,38.9,0.2
,Rewa,913.4,72.7,0.2
,Satna,797,80.2,0.2
,Mandsaur,1361,22.2,0.2
,Guna,1443,24.9,0.2
,Chhindwara,1374,57.6,0.4
,Betul,1042.5,70.2,0.3
,Khargone,945.6,64.6,0.2
,Jabalpur,1454.5,58.7,0.3
,Mandla,970.6,63.5,0.2
,Morena,1120.3,56.1,0.2
,Tikamgarh,1376.4,18.3,0.2
,Khajuraho,1164.2,57.1,0.2
,Khandwa,1144.6,57.7,0.2
Maharashtra,Buldana,1422,45.7,0.2
,Madha,1940.9,17.4,0.2
,Satara,1959,12.4,0.3
,Jalgaon,1630,34.4,0.2
,Akola,1434.1,41.9,0.2
,Sangli,1736,15.1,0.2
,Solapur,1928,21.1,0.2
,Amravati,1541,37.3,0.2
,Ramtek,2424,19.4,0.3
,nandurbar,1371.3,37.2,0.2
,Bhandara - Gondiya,1556.8,35.5,0.3
,Wardha,1753,24.2,0.2
,Shirur,2709,14.7,0.3
,Beed,1476,31.1,0.2
,Maval,2421.2,18.1,0.3
,Parbhani,1348.8,39.9,0.2
,Raigarh,2031.1,21.3,0.3
,Osmanabad,1690,19.3,0.2
,Hatkanangle,1668.3,16,0.2
,Dhule,1722.7,28.1,0.2
,Garhchiroli - Chimur,1405.3,37.6,0.2
,Raver,1600.5,36,0.2
,Biwandi,2757,19.4,0.3
,Dindori,1956.9,23.2,0.2
,Jalna,1590.1,25.9,0.2
,Aurangabad,1680,30.4,0.2
,Chandrapur,1396.9,39.3,0.2
,nashik,1957,23.2,0.3
,Shirdi,1526,27.1,0.2
,Hingoli,1439.9,37.6,0.2
,Ahmadnagar,1526,27.1,0.2
,Palghar,2756.4,19.4,0.3
,Latur,1602.6,28.7,0.2
,Baramati,2709,14.7,0.3
,Ratnagiri - Sindhudurg,1585.2,17.8,0.2
,Kolhapur,1642,16.3,0.2
,Thane,2770.6,19.3,0.3
,Mumbai North,3957,9.3,0.3
,Mumbai North-West,3960,9.3,0.3
,Mumbai North-East,3960,9.3,0.3
,Mumbai North-Central,N/A,N/A,N/A
,Mumbai South,N/A,N/A,N/A
,Mumbai South-Central,N/A,N/A,N/A
,Kalyan,2757,19.4,0.3
,Pune,2709,14.7,0.3
,nanded,1501.3,40.8,0.2
,Yavatmal - Washim,1377.5,35.3,0.2
,nagpur,2424,19.4,0.3
Manipur,Inner Manipur,1353.2,37.5,0.1
,Outer Manipur,1252.5,52.3,0.1
Meghalaya,Tura,1525.9,21.6,0.1
,Shillong,1614.1,27.6,0.2
Mizoram,Mizoram,1963.5,27,0.2
Nagaland,Nagaland,1956.4,16.8,0.2
NCT of Delhi,West Delhi,3023,18.8,0.3
,North West Delhi,3185.6,19.4,0.3
,Chandni Chowk,N/A,N/A,N/A
,North East Delhi,2530.6,22.3,0.2
,South Delhi,3023,18.8,0.3
,East Delhi,N/A,N/A,N/A
,New Delhi,N/A,N/A,N/A
Odisha,Bhadrak,1018.8,41.3,0.2
,Jajapur,1152,37.2,0.2
,Sambalpur,1204.2,38.1,0.2
,Baleshwar,1052,50,0.2
,Kendujhar,973.4,56.7,0.2
,Mayurbhanj,814,69.7,0.2
,Sundargarh,1192,60.2,0.3
,Bargarh,1150.4,44.3,0.2
,Dhenkanal,1339.9,16,0.2
,Bolangir,981.1,53.5,0.2
,Kalahandi,827.6,67.4,0.2
,Kandhamal,950,56.2,0.2
,Kendrapara,1426.8,23.7,0.2
,Cuttack,1404.8,26,0.2
,Bhubaneswar,1709.4,36.1,0.3
,Aska,1143,43.8,0.2
,Jagatsinghpur,1173.6,33.8,0.2
,nabarangapur,733.7,79.9,0.2
,Koraput,888.7,64.7,0.2
,Puri,1222.7,36,0.2
,Berhampur,1085.6,47,0.2
Puducherry,Puducherry,2694,3.4,0.3
Punjab,Jalandhar,2558.6,13.6,0.3
,Hoshiarpur,2194.8,12.9,0.2
,Fatehgarh Sahib,2384.5,14.2,0.3
,Firozpur,1968.5,17.8,0.2
,Patiala,2740.9,10.5,0.3
,Bathinda,2110.8,16.8,0.2
